xm,bj,xb,yw,sx,wy,zz,ls,dl,wl,hx,sw,wlfk,zcj
周黎,1101,女,94,82,96,97,97,98,95,94,88,文科,841
汤海明,1101,男,87,94,89,95,94,94,90,90,89,文科,822
舒江辉,1101,男,92,79,86,98,95,96,89,94,87,文科,816
翁柯,1101,女,91,84,96,93,97,94,82,90,83,文科,810
祁强,1101,男,85,92,82,93,87,88,95,94,93,文科,809
湛容,1101,女,92,82,85,91,90,92,82,98,90,文科,802
穆伶俐,1101,女,88,72,86,94,87,88,89,98,94,文科,796
韦永杰,1101,男,81,89,87,97,94,96,81,88,83,文科,796
龚兰秀,1101,女,88,77,95,94,84,94,87,94,82,文科,795
舒亚,1101,女,94,81,88,91,85,98,81,88,88,文科,794
宰玲玲,1101,女,87,83,92,91,86,94,84,90,87,文科,794
邰友生,1101,男,88,82,91,89,81,98,89,98,75,文科,791
历阳,1101,男,79,84,91,87,91,87,85,96,90,文科,790
卜杰,1101,男,78,81,83,86,88,98,85,90,99,文科,788
桑锡雨,1101,男,83,85,82,91,88,88,88,86,93,文科,784
屠珍锦,1101,女,80,84,91,91,85,100,73,90,90,文科,784
骆英,1101,女,89,71,90,95,91,96,84,88,80,文科,784
韶丽君,1101,女,89,84,85,97,84,86,72,96,89,文科,782
柴阳萍,1101,女,91,78,89,94,90,90,89,90,71,文科,782
崔志富,1101,男,85,79,88,87,78,93,84,96,87,文科,777
齐华仁,1101,男,90,61,82,93,90,96,76,96,92,文科,776
邴桂花,1101,女,87,74,86,95,81,88,85,96,84,文科,776
盛桂莲,1101,女,87,88,89,95,87,84,85,80,80,文科,775
禹雨情,1101,女,90,70,88,91,84,98,89,86,78,文科,774
凌诗雨,1101,女,84,55,95,90,86,100,80,96,86,文科,772
娄增增,1101,女,90,92,86,90,83,86,85,80,79,文科,771
平施玮,1101,女,85,78,87,87,71,95,75,98,87,文科,763
汤文静,1101,女,85,83,86,95,87,92,69,88,78,文科,763
时华君,1101,女,82,78,86,91,85,92,81,88,79,文科,762
范发园,1101,男,84,74,83,93,98,88,64,86,90,文科,760
卫凤林,1101,女,85,70,80,93,91,88,83,94,76,文科,760
艾媛媛,1101,女,81,70,81,80,93,92,89,86,87,文科,759
贲慧娥,1101,女,86,73,88,92,88,86,68,86,80,文科,747
弓日凤,1101,女,80,65,86,98,86,98,90,76,68,文科,747
禹春燕,1101,女,86,74,88,85,69,90,79,90,78,文科,739
万冲,1101,男,84,72,65,93,95,98,66,82,81,文科,736
胡小倩,1101,女,80,64,89,92,70,92,78,90,80,文科,735
侯代洪,1101,男,81,71,80,92,96,88,71,72,79,文科,730
廉二兰,1101,女,82,81,85,88,78,98,64,82,72,文科,730
邓洪涛,1101,男,79,74,75,95,97,92,56,76,83,文科,727
符春秀,1101,女,89,70,74,91,88,92,62,88,73,文科,727
罗云,1101,女,92,69,85,91,84,88,57,76,82,文科,724
李小芳,1101,女,77,73,81,94,84,88,63,80,79,文科,719
窦姚燕,1101,女,78,60,87,91,83,70,79,82,82,文科,712
徐明,1101,男,83,65,90,94,86,86,58,76,66,文科,704
郦春秀,1101,女,77,68,85,83,77,86,69,74,72,文科,691
吴江艳,1101,女,86,71,77,83,69,92,62,84,67,文科,691
彭小兵,1101,男,77,60,83,81,84,88,70,78,69,文科,690
吕绥,1101,女,83,59,77,90,81,78,68,70,78,文科,684
庞琴,1101,女,84,57,73,92,84,92,53,64,80,文科,679
金滔,1101,男,81,59,77,83,69,90,56,92,68,文科,675
于知平,1101,男,70,67,74,92,73,88,40,52,58,文科,614
